product_id,product_name,category,sub_category,brand,price,description,rating
P0001,Adidas Accessories Model 1,Sports,Accessories,Adidas,1049,"Adidas Accessories with premium quality, latest technology and advanced features for daily use",4.6
P0002,Asus Tablets Model 2,Electronics,Tablets,Asus,454,"Asus Tablets with premium quality, latest technology and advanced features for daily use",3.8
P0003,HP Laptops Model 3,Electronics,Laptops,HP,1794,"HP Laptops with premium quality, latest technology and advanced features for daily use",5.0
P0004,Dell Cookware Model 4,Home & Kitchen,Cookware,Dell,1177,"Dell Cookware with premium quality, latest technology and advanced features for daily use",4.7
P0005,Dell Fitness Model 5,Sports,Fitness,Dell,277,"Dell Fitness with premium quality, latest technology and advanced features for daily use",4.9
P0006,Nike Appliances Model 6,Home & Kitchen,Appliances,Nike,1628,"Nike Appliances with premium quality, latest technology and advanced features for daily use",4.3
P0007,LG Accessories Model 7,Sports,Accessories,LG,1385,"LG Accessories with premium quality, latest technology and advanced features for daily use",4.9
P0008,Samsung Fitness Model 8,Sports,Fitness,Samsung,1128,"Samsung Fitness with premium quality, latest technology and advanced features for daily use",3.9
P0009,HP Watches Model 9,Fashion,Watches,HP,1353,"HP Watches with premium quality, latest technology and advanced features for daily use",4.0
P0010,Dell Accessories Model 10,Sports,Accessories,Dell,589,"Dell Accessories with premium quality, latest technology and advanced features for daily use",4.5
P0011,Samsung Watches Model 11,Fashion,Watches,Samsung,1618,"Samsung Watches with premium quality, latest technology and advanced features for daily use",4.9
P0012,LG Clothing Model 12,Fashion,Clothing,LG,1286,"LG Clothing with premium quality, latest technology and advanced features for daily use",3.8
P0013,Adidas Fitness Model 13,Sports,Fitness,Adidas,1402,"Adidas Fitness with premium quality, latest technology and advanced features for daily use",4.5
P0014,Samsung Furniture Model 14,Home & Kitchen,Furniture,Samsung,102,"Samsung Furniture with premium quality, latest technology and advanced features for daily use",3.7
P0015,Asus Laptops Model 15,Electronics,Laptops,Asus,308,"Asus Laptops with premium quality, latest technology and advanced features for daily use",4.8
P0016,HP Tablets Model 16,Electronics,Tablets,HP,1760,"HP Tablets with premium quality, latest technology and advanced features for daily use",4.9
P0017,LG Accessories Model 17,Sports,Accessories,LG,302,"LG Accessories with premium quality, latest technology and advanced features for daily use",4.1
P0018,Adidas Outdoor Model 18,Sports,Outdoor,Adidas,1031,"Adidas Outdoor with premium quality, latest technology and advanced features for daily use",4.5
P0019,Apple Accessories Model 19,Sports,Accessories,Apple,944,"Apple Accessories with premium quality, latest technology and advanced features for daily use",3.7
P0020,Nike Furniture Model 20,Home & Kitchen,Furniture,Nike,1162,"Nike Furniture with premium quality, latest technology and advanced features for daily use",4.7
P0021,Asus Clothing Model 21,Fashion,Clothing,Asus,1341,"Asus Clothing with premium quality, latest technology and advanced features for daily use",4.5
P0022,Philips Accessories Model 22,Sports,Accessories,Philips,805,"Philips Accessories with premium quality, latest technology and advanced features for daily use",3.7
P0023,Adidas Laptops Model 23,Electronics,Laptops,Adidas,118,"Adidas Laptops with premium quality, latest technology and advanced features for daily use",4.6
P0024,Adidas Shoes Model 24,Fashion,Shoes,Adidas,1703,"Adidas Shoes with premium quality, latest technology and advanced features for daily use",4.2
P0025,Sony Watches Model 25,Fashion,Watches,Sony,832,"Sony Watches with premium quality, latest technology and advanced features for daily use",3.7
P0026,Puma Smartphones Model 26,Electronics,Smartphones,Puma,359,"Puma Smartphones with premium quality, latest technology and advanced features for daily use",3.8
P0027,Samsung Smartphones Model 27,Electronics,Smartphones,Samsung,1432,"Samsung Smartphones with premium quality, latest technology and advanced features for daily use",4.9
P0028,Puma Outdoor Model 28,Sports,Outdoor,Puma,355,"Puma Outdoor with premium quality, latest technology and advanced features for daily use",4.4
P0029,Dell Smartphones Model 29,Electronics,Smartphones,Dell,1000,"Dell Smartphones with premium quality, latest technology and advanced features for daily use",4.5
P0030,Nike Smartphones Model 30,Electronics,Smartphones,Nike,514,"Nike Smartphones with premium quality, latest technology and advanced features for daily use",3.7
P0031,HP Appliances Model 31,Home & Kitchen,Appliances,HP,1438,"HP Appliances with premium quality, latest technology and advanced features for daily use",4.1
P0032,Lenovo Watches Model 32,Fashion,Watches,Lenovo,98,"Lenovo Watches with premium quality, latest technology and advanced features for daily use",3.6
P0033,Lenovo Headphones Model 33,Electronics,Headphones,Lenovo,973,"Lenovo Headphones with premium quality, latest technology and advanced features for daily use",3.7
P0034,Puma Clothing Model 34,Fashion,Clothing,Puma,492,"Puma Clothing with premium quality, latest technology and advanced features for daily use",4.4
P0035,Nike Fitness Model 35,Sports,Fitness,Nike,1448,"Nike Fitness with premium quality, latest technology and advanced features for daily use",4.2
P0036,Asus Laptops Model 36,Electronics,Laptops,Asus,1895,"Asus Laptops with premium quality, latest technology and advanced features for daily use",4.6
P0037,Puma Clothing Model 37,Fashion,Clothing,Puma,1324,"Puma Clothing with premium quality, latest technology and advanced features for daily use",4.5
P0038,Sony Clothing Model 38,Fashion,Clothing,Sony,58,"Sony Clothing with premium quality, latest technology and advanced features for daily use",3.9
