user_id,product_id,interaction_type,timestamp,rating
U00017,P0165,purchase,2025-03-13 05:29:19.825546,3.5
U00011,P0054,cart,2025-11-27 05:29:19.825568,
U00681,P0039,purchase,2025-08-28 05:29:19.825576,4.5
U00805,P0167,cart,2026-01-14 05:29:19.825582,
U00995,P0017,purchase,2025-06-28 05:29:19.825588,4.0
U00214,P0017,view,2025-12-09 05:29:19.825593,
U00516,P0033,view,2025-07-04 05:29:19.825598,
U00108,P0197,cart,2025-10-14 05:29:19.825605,
U00559,P0016,view,2026-01-26 05:29:19.825611,
U00497,P0136,view,2025-09-26 05:29:19.825616,
U00929,P0180,purchase,2025-03-02 05:29:19.825623,3.9
U00446,P0039,cart,2025-10-21 05:29:19.825628,
U00539,P0130,purchase,2025-10-10 05:29:19.825634,4.6
U00321,P0099,cart,2025-12-23 05:29:19.825639,
U00239,P0156,view,2026-02-26 05:29:19.825644,
U00313,P0011,view,2025-06-16 05:29:19.825649,
U00455,P0151,cart,2025-06-09 05:29:19.825654,
U00845,P0122,purchase,2025-10-07 05:29:19.825659,4.7
U00993,P0192,cart,2025-12-22 05:29:19.825664,
U00688,P0040,view,2025-04-16 05:29:19.825668,
U00188,P0167,view,2025-08-07 05:29:19.825673,
U00966,P0192,cart,2025-03-06 05:29:19.825678,
U00810,P0163,purchase,2025-03-24 05:29:19.825683,4.2
U00292,P0088,view,2026-02-19 05:29:19.825688,
U00414,P0033,purchase,2025-09-25 05:29:19.825693,4.6
U00253,P0145,purchase,2025-11-05 05:29:19.825698,4.4
U00765,P0115,purchase,2025-09-18 05:29:19.825704,4.4
U00562,P0074,cart,2025-08-10 05:29:19.825709,
U00373,P0064,view,2025-03-30 05:29:19.825714,
U00913,P0094,purchase,2025-06-21 05:29:19.825719,4.0
U00674,P0152,view,2025-09-06 05:29:19.825724,
U00595,P0101,cart,2025-05-24 05:29:19.825728,
U00028,P0140,view,2025-08-09 05:29:19.825733,
U00302,P0161,cart,2025-06-22 05:29:19.825737,
U00529,P0184,cart,2026-01-28 05:29:19.825742,
U00003,P0185,cart,2025-10-25 05:29:19.825753,
U00119,P0148,purchase,2026-01-10 05:29:19.825762,4.1
U00609,P0055,cart,2025-09-13 05:29:19.825782,
U00352,P0116,view,2025-06-04 05:29:19.825788,
U00459,P0077,view,2025-10-28 05:29:19.825793,
U00548,P0049,purchase,2025-07-23 05:29:19.825799,3.5
U00172,P0096,purchase,2026-02-22 05:29:19.825805,4.4
U00724,P0152,view,2025-05-18 05:29:19.825809,
U00666,P0157,cart,2025-11-10 05:29:19.825814,
U00067,P0007,purchase,2025-11-08 05:29:19.825819,4.2
U00092,P0108,purchase,2025-08-12 05:29:19.825825,3.9
U00150,P0155,purchase,2025-07-02 05:29:19.825830,4.1
U00047,P0179,purchase,2025-09-27 05:29:19.825835,3.8
U00674,P0177,view,2026-02-28 05:29:19.825840,
U00400,P0200,purchase,2026-01-04 05:29:19.825845,4.9
